codigo_nacional_farmaco_cd,codigo_descripcion,atc_farmaco_dispensado_cd,ddd_nomenclator_nm,ddd_por_envase,pvp_nomenclator_nm,precio_por_envase_nm
015699,TISERCIN 25MG/ML 1ML 10 AMPOLLAS SOLUCION INYECTABLE,N05AA02,100,2.5,17.68,17.68
015695,NOZINAN 25MG 6 AMPOLLAS 1ML SOLUCION INYECTABLE,N05AA02,100,1.5,25.48,25.48
015688,LEVOMEPROMAZIN-NEURAXPHARM 25MG 5 AMPOLLAS 1ML SOLUCION INYECTABLE,N05AA02,100,1.25,13.89,13.89
015698,NEUROCIL 25MG 5 AMPOLLAS 1ML SOLUCION INYECTABLE,N05AA02,100,1.25,21.63,21.63
016410,NOZINAN 100MG 20 COMPRIMIDOS RECUBIERTOS,N05AA02,300,6.66666666666667,1.5,1.5
016031,MODITEN DEPO (ESLOVENIA) 25MG/ML 5 VIALES SOLUCION INYECTABLE,N05AB02,1,125,65.14,65.14
015477,FLUPHENAZIN-NEURAXPHARM D BCN FARMA 25MG 5 AMPOLLAS SOLUCION INYECTABL,N05AB02,1,125,24,24
015468,AFLUDITEN (ALBA/CHECO) 25MG/ML 1ML 5 AMPOLLAS SOLUCION INYECTAB DEPOT,N05AB02,1,125,28.55,28.55
015413,AFLUDITEN (CHECO) 25MG/ML 1ML 5 AMPOLLAS SOLUCION INYECTABLE,N05AB02,1,125,35.36,35.36
017706,LEVOMEPROMAZIN NEURAXPHARM MANA PHARMA 40MG/ML 30ML 1 ENVASE SOLU ORAL,N05AA02,300,4,8.63,8.63
013283,MODECATE 25MG 1 AMPOLLA 1ML SOLUCION INYECTABLE DEPOT,N05AB02,1,25,1.9,1.9
015250,ZIPRASIDONA AUROBINDO 20MG 56 CAPSULAS DURAS,N05AE04,80,14,26.26,26.26
560176,TIAPRIDEX 100MG 12 AMPOLLAS 2ML SOLUCION INYECTABLE (ACONDIC),N05AL03,400,3,0,0
018652,TIAPRIDAL 50MG/ML 2ML 12 AMPOLLAS SOLUCION INYECTABLE,N05AL03,400,0.5,19.54,19.54
017089,NOZINAN (FRANCIA) 25MG/ML 1ML 5 AMPOLLAS SOLUCION INYECTABLE IM,N05AA02,100,0.25,0.94,0.94
015712,LARGACTIL 5MG/ML 5ML 10 AMPOLLAS SOLUCION INYECTABLE,N05AA01,100,2.5,11.18,11.18
550444,NEULEPTIL 10MG 50 CAPSULAS,N05AC01,50,10,1.07,1.07
550415,TIAPRIDEX 100MG 12 AMPOLLAS 2ML SOLUCION INYECTABLE,N05AL03,400,3,0,0
768994,LEPONEX 100MG 40 COMPRIMIDOS,N05AH02,300,13.3333333333333,26.22,26.22
727084,"LEVOSULPIRIDA ARISTO 25 MG COMPRIMIDOS EFG, 30 comprimidos",N05AL07,400,1.875,4.93,4.93
727085,"LEVOSULPIRIDA ARISTO 25 MG COMPRIMIDOS EFG, 60 comprimidos",N05AL07,400,3.75,9.87,9.87
727401,LEVOSULPIRIDA STADA 25 MG COMPRIMIDOS EFG 30 comprimidos,N05AL07,400,1.875,4.93,4.93
727402,LEVOSULPIRIDA STADA 25 MG COMPRIMIDOS EFG 60 comprimidos,N05AL07,400,3.75,9.87,9.87
791061,LEVOGASTROL 25MG 30 COMPRIMIDOS,N05AL07,400,1.875,4.93,4.93
791996,LEVOGASTROL 25MG 60 COMPRIMIDOS,N05AL07,400,3.75,9.87,9.87
841015,PAUSEDAL 25MG 30 COMPRIMIDOS,N05AL07,400,1.875,4.93,4.93
