codigo_nacional_farmaco_cd,codigo_descripcion,atc_farmaco_dispensado_cd,ddd_nomenclator_nm,ddd_por_envase,pvp_nomenclator_nm,precio_por_envase_nm
600762,ASERIN 100MG 500 COMPRIMIDOS RECUBIERTOS PELICULA,N06AB06,50,1000,125.86,125.86
751586,FLUOXETINA STADA 20MG/5ML 70ML SOLUCION ORAL EFG,N06AB03,20,14,2.5,2.5
713883,FLUOXETINA RATIOPHARM 20MG 14 COMPRIMIDOS DISPERSABLES EFG,N06AB03,20,14,2.5,2.5
952515,FLUOXETINA DIASA 20MG 28 CAPSULAS EFG,N06AB03,20,28,2.5,2.5
660339,FLUOXETINA DIASA 20MG 60 CAPSULAS DURAS EFG,N06AB03,20,60,5.25,5.25
650520,CITALOPRAM ARGENOL 20MG 14 COMPRIMIDOS RECUBIERTOS PELICULA,N06AB04,20,14,5.73,5.73
650521,CITALOPRAM ARGENOL 20MG 28 COMPRIMIDOS RECUBIERTOS PELICULA,N06AB04,20,28,11.47,11.47
672962,ESCITALOPRAM ZENTIVA 10MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,28,8.77,8.77
672464,ESCITALOPRAM ZENTIVA 15MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,42,13.16,13.16
672466,ESCITALOPRAM ZENTIVA 15MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,84,26.3,26.3
672965,ESCITALOPRAM ZENTIVA 20MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,56,17.55,17.55
672966,ESCITALOPRAM ZENTIVA 20MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,112,35.08,35.08
665692,ESCITALOPRAM ALTER 10MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,28,8.77,8.77
665694,ESCITALOPRAM ALTER 15MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,42,13.16,13.16
665699,ESCITALOPRAM ALTER 20MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,56,17.52,17.52
665343,ESCITALOPRAM FARMALIDER 15MG 28 COMPRIMIDOS RECUB PELICULA BOTE EFG,N06AB10,10,42,13.11,13.11
665339,ESCITALOPRAM FARMALIDER 10MG 28 COMPRIMIDOS RECUB PELIC BOTE EFG,N06AB10,10,28,8.74,8.74
665338,ESCITALOPRAM FARMALIDER 10MG 56 COMPRIMIDOS RECUB PELIC BLISTER EFG,N06AB10,10,56,17.48,17.48
